County,City,CompositeKey,Population,Violent Crime - Rate per 100k,Property Crime - Rate per 100k,VCrimeMed,VCrimeMAD,VioFlag (+/-1.5 st deviatiations),PropCrimemed,PropCrimeMAD,PropFlag (+/-1.5 st deviatiations),TotalViolentCrimes,violentcrimecheck,per100k,TotalHomocides,TotalRapes,TotalRobbery,TotalAggravatedAssaults,TotalPropertyCrime,propertycrimecheck,per 100k,TotalBurglary,TotalVehicleTheft,TotalLarcenyTheft
Alameda  ,Alameda,Alameda  |Alameda,75353,341.0614043,5646.755935,328.2157157,167.2032952,,3765.506043,1794.523784,,257,257,,0,16,123,118,4255,4255,,376,1280,2599
Alameda  ,Albany,Alameda  |Albany,19097,193.7477091,2843.378541,,,,,,,37,37,,1,0,22,14,543,543,,84,95,364
Alameda  ,Berkeley,Alameda  |Berkeley,118962,664.9182092,5899.362822,,,🚩Outlier,,,,791,791,,4,102,379,306,7018,7018,,1139,1368,4511
Alameda  ,Emeryville,Alameda  |Emeryville,12732,1531.573987,17514.92303,,,🚩Outlier,,,🚩Outlier,195,195,,1,6,128,60,2230,2230,,113,456,1661
Alameda  ,Fremont,Alameda  |Fremont,226208,209.9837318,2792.120526,,,,,,,475,475,,6,22,170,277,6316,6316,,1164,1321,3831
Alameda  ,Hayward,Alameda  |Hayward,155675,657.1382688,3897.86414,,,,,,,1023,1023,,10,93,294,626,6068,6068,,654,2377,3037
Alameda  ,Livermore,Alameda  |Livermore,82908,230.3758383,1940.70536,,,,,,,191,191,,0,33,60,98,1609,1609,,183,243,1183
Alameda  ,Newark,Alameda  |Newark,46929,315.3700271,3633.147947,,,,,,,148,148,,0,10,59,79,1705,1705,,212,411,1082
Alameda  ,Oakland,Alameda  |Oakland,436504,3548.879277,9861.994392,,,🚩Outlier,,,🚩Outlier,15491,15491,,119,372,3831,11169,43048,43048,,3886,16510,22652
Alameda,Piedmont,Alameda|Piedmont,10635,282.0874471,4203.102962,,,,,,,30,30,,0,5,8,17,447,447,,46,81,320
Alameda  ,Pleasanton,Alameda  |Pleasanton,74653,123.2368425,2001.259159,,,,,,,92,92,,3,20,33,36,1494,1494,,206,188,1100
Alameda,San Leandro,Alameda|San Leandro,85784,666.79101,5913.690199,,,🚩Outlier,,,,572,572,,6,20,373,173,5073,5073,,504,1980,2589
Alameda  ,Union City,Alameda  |Union City,65414,489.1919161,3172.103831,,,,,,,320,320,,3,13,117,187,2075,2075,,228,550,1297
Alameda  ,Dublin,Alameda  |Dublin,69128,154.7853258,1793.773869,,,,,,,107,107,,1,6,34,66,1240,1240,,91,117,1032
Amador  ,Ione,Amador  Ione,5431,128.8897072,515.5588289,331.1258278,78.07136626,🚩Outlier,735.8351729,220.276344,,7,7,,1,2,0,4,28,28,,3,4,21
Amador  ,Jackson,Amador  Jackson,5132,409.1971941,1519.875292,,,,,,🚩Outlier,21,21,,0,3,1,17,78,78,,11,8,59
Amador  ,Sutter Creek,Amador  Sutter Creek,2718,331.1258278,735.8351729,,,,,,,9,9,,0,4,0,5,20,20,,0,1,19
Butte  ,Chico,Butte  Chico,101301,612.0373935,1805.510311,499.1387933,120.2985152,,2010.19772,552.2222867,,620,620,,3,94,75,448,1829,1829,,231,290,1308
Butte  ,Gridley,Butte  Gridley,7269,371.4403632,2214.885129,,,,,,,27,27,,0,6,3,18,161,161,,28,26,107
Butte  ,Oroville,Butte  Oroville,19449,1069.463726,4992.544604,,,🚩Outlier,,,🚩Outlier,208,208,,2,32,35,139,971,971,,186,319,466
Butte  ,Paradise,Butte  Paradise,8285,386.2401931,1110.440555,,,,,,,32,32,,0,2,1,29,92,92,,31,16,45
Calaveras  ,Angels Camp,Calaveras  Angels Camp,3752,213.2196162,1812.366738,,,,,,,8,8,,0,1,1,6,68,68,,9,6,53
Colusa  ,Colusa,Colusa  Colusa,6527,566.8760533,1103.110158,497.0751995,69.80085379,,1361.596026,258.4858682,,37,37,,0,2,3,32,72,72,,24,9,39
Colusa  ,Williams,Colusa  Williams,5617,427.2743457,1620.081894,,,,,,,24,24,,0,0,0,24,91,91,,16,14,61
Contra Costa  ,Antioch,Contra Costa  Antioch,117096,550.8300881,2931.782469,286.2699679,198.4781893,,2119.968867,1023.599394,,645,645,,11,36,206,392,3433,3433,,602,1222,1609
