County,City,% Democratic,% Republican,% American Independent,% Other,% No Party Preference,Unnamed: 7,DemAverage,DemStDev,DemOutlier,RepAve,RepStDev,RepOutlier,IndAve,IndStDev,IndeOutlier,OtherAve,OtherStDev,OtherOutlier,NoPrefAve,NoPrefStDev,NoPrefOutlier
Alameda,Alameda,61.9688127810198,10.48120156892758,2.50837080264039,2.431837749928253,22.60977709748398,,58.49,10.09315571,Normal,12.04,6.748194731,Normal,2.66,0.7814863931,Normal,2.47,0.4396709958,Normal,24.34,4.112304334,Normal
Alameda,Albany,70.71653673909438,5.100348316470393,1.642063360424614,2.239177309669923,20.30187427434069,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Berkeley,73.92287849725511,3.039883590184536,1.55962695945499,2.730339308155298,18.74727164495006,,,,🚩Outlier,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Dublin,47.78053116414372,16.85341808974842,3.094866131552012,1.81813284490654,30.4530517696493,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Emeryville,67.9429849077697,5.352152040245947,2.459474566797093,2.669088876467303,21.57629960871996,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Fremont,48.47797580266055,15.09076064097383,2.344684255234922,1.847376972116152,32.23920232901454,,,,Normal,,,Normal,,,Normal,,,Normal,,,🚩Outlier
Alameda,Hayward,56.86231805147193,13.33381731944293,2.981354435127712,2.509467978269019,24.31304221568841,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Livermore,43.63374013420952,26.93056569660304,4.540871318799764,2.491220750321624,22.40360210006606,,,,Normal,,,🚩Outlier,,,🚩Outlier,,,Normal,,,Normal
Alameda,Newark,52.58734216438143,15.95398559144783,2.966922302269734,1.8824076225889,26.60934231931211,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Oakland,68.48955524395068,5.143877563249799,2.272718193330856,3.021768397671746,21.07208060179692,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Piedmont,67.1414265049516,10.05897407366196,1.813730944697897,1.424279514854788,19.56158896183376,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,Normal
Alameda,Pleasanton,45.67671119395257,21.66097131614373,3.497980739360049,1.921921921921925,27.24241482862173,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,San Leandro,56.34571172505163,12.99341464365039,2.817285586252582,2.402291236410402,25.441296808635,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alameda,Union City,54.10882438598195,13.86515872245413,2.536161537714785,2.011940588292397,27.47791476555674,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Alpine,Alpine,43.55,22.97,6.069999999999999,3.680000000000007,23.73,,43.55,,,22.97,,,6.07,,,3.68,,,23.73,,
Amador,Amador,53.79310344827586,32.41379310344827,2.068965517241379,0.6896551724138025,11.03448275862069,,25.49,12.80128076,🚩Outlier,49.26,7.514584847,🚩Outlier,6.11,1.92943089,🚩Outlier,3.17,,🚩Outlier,15.97,,🚩Outlier
Amador,Ione,21.57116930256676,53.48716619134042,6.637282862328234,3.370495203526058,14.93388644023853,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,🚩Outlier
Amador,Jackson,30.73524771221205,43.70463868728305,6.311139160618491,2.524455664247398,16.724518775639,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,🚩Outlier
Amador,Plymouth,23.64341085271318,45.21963824289406,6.589147286821706,4.651162790697679,19.89664082687338,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,🚩Outlier
Amador,Sutter Creek,31.25327739905611,42.99947561615102,5.243838489774514,2.98898793917148,17.51442055584688,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,🚩Outlier
Butte,Biggs,25.98584428715874,49.44388270980789,5.055611729019211,3.235591506572298,16.27906976744186,,33.7,7.558934464,Normal,37.67,8.689916028,Normal,5.33,0.6458268525,Normal,4.64,1.037730716,Normal,18.66,1.808421543,Normal
Butte,Chico,42.63890968998053,27.66545188291482,4.770938378846122,5.549731249895995,19.37496879836254,,,,Normal,,,Normal,,,Normal,,,Normal,,,Normal
Butte,Gridley,34.10679340229242,38.02068772714565,5.116019010343863,3.047246295778589,19.70925356443948,,,,Normal,,,Normal,,,Normal,,,🚩Outlier,,,Normal
