Unnamed: 0,Unnamed: 1,Earnings,Unnamed: 3,Sex,Unnamed: 5,Home,Unnamed: 7,Veterans,Unnamed: 9,Educational Attainment,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Hispanic,Unnamed: 18,Hispanic Breakdown,Unnamed: 20,Unnamed: 21,Unnamed: 22,Race,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Asian Breakdown,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Age Breakdown,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
County,Population,"Median annual earnings, 25+ ",Annual Average Pay,Female,Male,"Home Value, Median (dollars)",% Homeowner,% Veterans 18 and over,% Veterans with disability,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Hispanic or Latino (of any race),Not Hispanic or Latino,Mexican,Other Hispanic or Latino,Puerto Rican,Cuban,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian and Other Pacific Islander,Some Other Race,White,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Median Age,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Alameda,1651949,73582,94731,50.4,49.6,1057400,54.1,3.2,25.3,6.4,4.7,15.9,15.3,6.3,28.7,22.8,23.3,76.7,16.3,6.1,0.8,0.2,0.8999999999999999,32.2,9.9,0.7000000000000001,12.9,32,9,10.9,5.2,0.7000000000000001,1.2,2,3.3,38.7,5.3,5.600000000000001,5.7,5.800000000000001,5.5,15.8,15.7,13.4,6.4,5.800000000000001,8.9,4.3,1.8
Alpine,1695,44286,49230,47.8,52.2,466100,81,3.5,26.1,1.7,2,18.5,24.7,11,22.4,19.7,14.7,85.3,8.799999999999999,5.899999999999999,0,0,27,0.5,0,0,1.3,63.5,0,0,0,0.2,0.3,0,0,41.1,9.5,4.9,3.3,6.800000000000001,6,10.1,14.4,6.7,9.9,6.600000000000001,19.8,1.3,0.6
Amador,41029,49672,56482,45.4,54.6,422800,80.10000000000001,10.9,36.7,2.4,6.600000000000001,26.5,29.7,12.4,15.5,7.000000000000001,15.5,84.5,10.3,4.6,0.3,0.3,1.2,1.4,2,0.1,5.3,77.8,0,0.2,0.6,0,0.1,0.1,0.4,49.9,3.9,4.2,4.5,4.3,3.9,11,12.7,12.2,6.3,9.8,16.4,7.8,2.9
Butte,209470,46325,54913,50.2,49.8,408700,58.3,6.9,34.3,3.7,6,22.3,25.5,10.8,20.7,11,19.5,80.5,16.5,2.4,0.5,0.1,1.2,5.4,1.8,0.3,6.600000000000001,72.6,0.3,0.6,0.7000000000000001,0.1,0.2,0.3,3.3,36.3,5.3,5.800000000000001,5.800000000000001,7.1,11,13.1,11.8,10.3,5.800000000000001,5.899999999999999,11,5.4,1.8
Calaveras,45995,47739,52045,50.3,49.7,441800,84.39999999999999,8.799999999999999,36.2,1.2,5.5,31.9,28.5,10.7,14.7,7.5,13.9,86.1,10,3.2,0.6,0.1,1.5,2.3,1.2,0.1,3,80.80000000000001,0,0.7000000000000001,0.8999999999999999,0.2,0,0,0.5,52,4,4.7,4.6,5,4,9.2,10.7,11.6,8.3,9,17.4,8.7,2.6
Colusa,21895,45193,57443,48.4,51.6,375100,62.2,5,38.2,18.2,8.6,29.6,19.5,9.6,11.3,3.2,62.3,37.7,59.7,2.6,0,0,1.4,0.7000000000000001,1.4,0.1,25.4,51.2,0.3,0,0.1,0,0,0,0.3,35.7,6.7,7.8,7.5,7.7,6.4,12.7,13,11,5.600000000000001,6.1,9.2,3.3,2.8
Contra Costa,1161458,70249,83798,50.8,49.2,830800,67.7,4.399999999999999,31.4,5.4,5,17.7,19,8,27.4,17.5,27.3,72.7,18,8.3,0.8,0.2,0.8999999999999999,18.5,8.5,0.5,13.7,43.5,3.6,4.8,4.8,0.6,0.8,0.8999999999999999,2.9,40.3,5.4,5.899999999999999,6.7,6.5,5.600000000000001,12.3,14,13.7,6.800000000000001,6.4,9.8,4.9,2
Del Norte,27293,41544,51023,45.6,54.40000000000001,319600,71.2,6.9,48.3,4.2,10.2,25.6,28.9,10.1,12.8,8.200000000000001,19.6,80.4,14.9,4.3,0.5,0,7.000000000000001,3.1,2.9,0.4,8.3,67.10000000000001,0,0.2,0.2,0.2,0.5,0,2.1,40.8,5.1,5.7,6.7,5.5,4.2,14.2,13.1,11.8,6.1,7.9,12.3,6.3,1.2
El Dorado,192299,62959,64156,50,50,640500,76.4,7.8,31.3,1.9,3.2,20.7,24.5,10.8,25.7,13.1,14.2,85.8,10.4,3.2,0.4,0.1,0.6,5.2,0.8999999999999999,0.1,4.100000000000001,79.9,0.8,0.8999999999999999,1.8,0.3,0.3,0.3,0.8,46.1,4.5,5.2,6.1,5.800000000000001,4.6,10.1,12.4,12.4,7.8,8.3,14.2,6.3,2.3
