County,Population,TotalViolentCrimes,ViolentCrimesper100k,TotalHomocides,Homocidesper100k,TotalRapes,Rapesper100k,TotalRobbery,Robberyper100k,TotalAggravatedAssaults,AggravatedAssaultper100k,TotalPropertyCrime,PropertyCrimeper100k,TotalBurglary,Burglaryper100k,TotalVehicleTheft,VehicleTheftper100k,TotalLarcenyTheft,LarcenyTheftper100k
Alameda,1622188.0,20927.0,1290.047763,165.0,10.17144745,773.0,47.65169019,5995.0,369.5625908,13994.0,862.6620342,89570.0,5521.554838,9280.0,572.0668628,29750.0,1833.942798,50540.0,3115.545177
Alpine,1141.0,9.0,788.7817704,0.0,0.0,0.0,0.0,0.0,0.0,9.0,788.7817704,10.0,876.4241893,3.0,262.9272568,0.0,0.0,7.0,613.4969325
Amador,41811.0,101.0,241.563225,2.0,4.783430198,14.0,33.48401138,6.0,14.35029059,79.0,188.9454928,392.0,937.5523188,34.0,81.31831336,39.0,93.27688886,319.0,762.9571165
Butte,207172.0,1343.0,648.253625,10.0,4.826907111,169.0,81.57473018,138.0,66.61131813,1026.0,495.2406696,4393.0,2120.460294,701.0,338.3661885,966.0,466.2792269,2726.0,1315.814878
Calaveras,46565.0,187.0,401.5891764,0.0,0.0,27.0,57.98346398,7.0,15.03274992,153.0,328.5729625,631.0,1355.095028,223.0,478.9004617,49.0,105.2292494,359.0,770.9653173
Colusa,22037.0,84.0,381.1771112,1.0,4.537822753,4.0,18.15129101,4.0,18.15129101,75.0,340.3367064,331.0,1502.019331,78.0,353.9501747,33.0,149.7481508,220.0,998.3210056
Contra Costa,1155025.0,4774.0,413.3243869,42.0,3.636284929,282.0,24.41505595,1343.0,116.2745395,3107.0,268.9985065,25870.0,2239.77836,3581.0,310.0365793,6135.0,531.1573343,16154.0,1398.584446
Del Norte,26589.0,149.0,560.3821129,2.0,7.521907556,10.0,37.60953778,11.0,41.37049156,126.0,473.880176,620.0,2331.791342,133.0,500.2068525,70.0,263.2667645,417.0,1568.317725
El Dorado,192215.0,564.0,293.4214291,2.0,1.040501522,103.0,53.58582837,44.0,22.89103348,415.0,215.9040658,1832.0,953.0993939,293.0,152.4334729,157.0,81.67936946,1382.0,718.9865515
Fresno,1017162.0,6488.0,637.853164,59.0,5.800452632,367.0,36.08078163,1199.0,117.876995,4863.0,478.0949347,24610.0,2419.476937,4078.0,400.9194209,4931.0,484.7802022,15601.0,1533.777314
Glenn,28129.0,150.0,533.2574923,0.0,0.0,9.0,31.99544954,7.0,24.88534964,134.0,476.3766931,329.0,1169.611433,81.0,287.9590458,59.0,209.747947,189.0,671.9044403
